year, algo, accc
2007, SVM, 0.628
2007, SVM, 0.6671
2007, SVM, 0.666
2007, SVM, 0.6534
2008, SVM, 0.6204
2008, SVM, 0.6339
2008, SVM, 0.639
2008, SVM, 0.6471
2008, SVM, 0.6641
2008, SVM, 0.6562
2008, SVM, 0.6506
2008, SVM, 0.6226
2008, SVM, 0.6084
2008, SVM, 0.6046
2008, SVM, 0.6541
2008, SVM, 0.653
2008, SVM, 0.652
2009, SVM, 0.7761
2009, SVM, 0.7621
2009, SVM, 0.8048
2009, SVM, 0.8061
2009, SVM, 0.7851
2009, SVM, 0.6911
2009, SVM, 0.7293
2009, OTHER, 0.2322
2009, SVM, 0.7297
2009, SVM, 0.7297
2009, SVM, 0.7433
2009, SVM, 0.7653
2009, SVM, 0.7556
2009, SVM, 0.7629
2009, KNN, 0.4408
2009, KNN, 0.4946
2009, SVM, 0.612
2009, OTHER, 0.702
2009, SVM, 0.7454
2009, SVM, 0.7647
2009, SVM, 0.7305
2009, SVM, 0.7195
2009, SVM, 0.7169
2009, SVM, 0.7769
2009, SVM, 0.7654
2009, SVM, 0.7725
2012, KNN , 0.6074
2012, KNN , 0.5834
2012, SVM , 0.6797
2012, SVM , 0.7343
2012, SVM , 0.6596
2012, NN , 0.7195
2012, SVM , 0.7443
2012, SVM , 0.6773
2012, OTHER , 0.749
2012, SVM , 0.7612
2012, SVM , 0.7611
2012, SVM , 0.7281
2013, SVM, 0.7376
2013, SVM, 0.729
2013, SVM, 0.632
2013, SVM, 0.6983
2013, SVM, 0.6587
2013, KNN, 0.624
2013, KNN, 0.6438
2013, OTHER, 0.7622
2013, OTHER, 0.7605
2014, SVM, 0.7477
2014, SVM, 0.702
2014, SVM, 0.6372
2014, NN, 0.6627
2014, NN, 0.6734
2014, SVM, 0.7551
2014, SVM, 0.7555
2014, SVM, 0.8356
2014, SVM, 0.504
2014, SVM, 0.4909
2014, SVM, 0.6734
2015, SVM, 0.7147
2015, SVM, 0.5352
2015, SVM, 0.6918
2015, NN, 0.6441
2015, SVM , 0.7627
2016, SVM 0.7044
2016, CNN 0.7314
2017, NN, 0.7684
2017, SVM, 0.7113
2017, SVM, 0.7427
2017, NN, 0.679
